Fulfilment,Amount,AvgAmount,OrderCount,UniqueOrders,Qty,Average Order Value,Units per Order
Amazon,54327540.0,605.5704301494767,89713,83906,84097,647.4809906323743,1.0022763568755513
Merchant,24262630.25,617.9515128747166,39263,36323,32549,667.9687869944663,0.8960988905101451
