Year,Month,Amount,AvgAmount,OrderCount,Qty
2022,3,101683.85,594.6423976608188,171,156
2022,4,28836200.27,587.678329461156,49068,44203
2022,5,26226476.75,623.8457837773549,42040,38011
2022,6,23425809.38,621.4237042735496,37697,34276
